0.00034387,0.00024926,0.00031335,0.00028624,0.00016251,0.00013299
0.00034387,0.00024926,0.00031335,0.00028624,0.00016251,0.00013299
0.00034388,0.00024928,0.00031335,0.00028629,0.00016251,0.00013299
0.00013425,9.1303e-05,9.5823e-05,9.1389e-05,8.5135e-05,3.5063e-05
0.00013568,9.1947e-05,9.7095e-05,9.205e-05,8.5471e-05,3.5286e-05
0.00013752,9.1488e-05,9.7093e-05,9.2062e-05,8.5416e-05,3.5287e-05
0.00087142,0.0008366,0.00087501,0.00045093,0.00083982,0.00039128
0.00087158,0.00083668,0.00087503,0.00045179,0.00083977,0.0003913
0.00087087,0.00083518,0.00087497,0.00045049,0.00083924,0.00039
7.0274e-35,5.001e-32,1.0047e-27,5.8929e-13,2.523e-20,4.6016e-13
1.6201e-60,-1.3084e-58,5.912e-61,-3.4742e-45,-1.729e-45,-1.4497e-50
4.4985e-63,-2.743e-61,4.8418e-67,-9.5838e-50,-3.4511e-48,-1.1302e-54
1.6649e-66,-1.0152e-64,1.7919e-70,-3.5469e-53,-1.2773e-51,-4.183e-58
6.864e-70,-4.4647e-68,6.6559e-74,-1.6014e-56,-4.8005e-55,-1.5418e-61
