149.17,133.19,149.78,150.86,137.46,139.06,149.17,133.19,149.78,150.86,137.46,139.06
145.7,130.21,146.24,147.84,133.07,135.23,145.7,130.21,146.24,147.84,133.07,135.23
142.23,128.69,144.73,144.2,133.49,135.42,142.23,128.69,144.73,144.2,133.49,135.42
149.55,132.53,149.64,151.11,135.44,136.96,149.55,132.53,149.64,151.11,135.44,136.96
143.81,129.47,146.09,144.77,135.35,136.48,143.81,129.47,146.09,144.77,135.35,136.48
NaN,NaN,152.15,NaN,138.96,140.38,NaN,NaN,152.15,NaN,138.96,140.38
143.08,128.66,145.24,144.25,133.94,135.42,143.08,128.66,145.24,144.25,133.94,135.42
153.8,136.8,153.99,155.33,140.68,142.23,153.8,136.8,153.99,155.33,140.68,142.23
144.21,129.5,147.58,145.62,135.72,137.7,144.21,129.5,147.58,145.62,135.72,137.7
151.72,134.59,151.72,153.91,137.72,139.49,151.72,134.59,151.72,153.91,137.72,139.49
152.52,135.72,152.76,154.18,139.52,141.02,152.52,135.72,152.76,154.18,139.52,141.02
152.06,135.12,152.07,154.02,138.32,139.87,152.06,135.12,152.07,154.02,138.32,139.87
152.54,135.58,152.54,154.32,138.69,140.23,152.54,135.58,152.54,154.32,138.69,140.23
146.2,130.82,147.28,147.83,135.1,136.95,146.2,130.82,147.28,147.83,135.1,136.95
145.79,132,147.86,148.35,136.91,138.92,145.79,132,147.86,148.35,136.91,138.92
148.52,132.89,149.85,150,137.97,139.62,148.52,132.89,149.85,NaN,137.97,139.62
140.62,127.62,143.67,142.73,132.19,134.45,140.62,127.62,143.67,142.73,132.19,134.45
138.68,126.69,143.38,140.71,132.09,134.44,138.68,126.69,143.38,140.71,132.09,134.44
151.98,135.49,152.29,153.69,139.61,141.04,151.98,135.49,152.29,153.69,139.61,141.04
152.26,135.06,152.28,154.05,138.33,139.87,152.26,135.06,152.28,154.05,138.33,139.87
141.5,127.25,142.96,143.13,131.27,133.05,141.5,127.25,142.96,143.13,131.27,133.05
156.48,138.89,156.46,158.44,142.03,143.59,156.48,138.89,156.46,158.44,142.03,143.59
156.81,139.4,156.88,158.49,142.99,144.34,156.81,139.4,156.88,158.49,142.99,144.34
150.9,135.17,151.89,152.74,140.67,142.14,150.9,135.17,151.89,152.74,140.67,142.14
152.72,136.28,153.44,154.39,141.37,143,152.72,136.28,153.44,154.39,141.37,143
145.9,130.84,147.32,147.45,135.94,137.45,145.9,130.84,147.32,147.45,135.94,137.45
141.15,126.54,NaN,142.76,130.5,132.34,141.15,126.54,NaN,142.76,130.5,132.34
157.82,140.28,157.86,159.66,143.85,145.32,157.82,140.28,157.86,159.66,143.85,145.32
148.18,132.18,148.72,149.8,136.29,137.87,148.18,132.18,148.72,149.8,136.29,137.87
146.19,131.76,147.56,148.51,136.06,138,146.19,131.76,147.56,148.51,136.06,138
149.36,134.9,151.15,150.85,140.3,141.57,149.36,134.9,151.15,150.85,140.3,141.57
157.06,139.52,157.11,159.06,143.34,144.81,157.06,139.52,157.11,159.06,143.34,144.81
153.46,137.18,NaN,154.93,142.66,144.19,153.46,137.18,NaN,154.93,142.66,144.19
140.43,126.59,142.3,141.87,130.37,132.37,140.43,126.59,142.3,141.87,130.37,132.37
146.1,130.91,146.93,147.91,134.68,136.58,146.1,130.91,146.93,147.91,134.68,136.58
147.05,131.52,147.43,149.09,134.88,136.67,147.05,131.52,147.43,149.09,134.88,136.67
147.47,132.79,148.45,149.71,136.76,138.68,147.47,132.79,148.45,149.71,136.76,138.68
148.47,NaN,149.34,150.25,136.97,138.98,148.47,NaN,149.34,150.25,136.97,138.98
146.23,130.66,146.89,147.95,134.14,136,146.23,130.66,146.89,147.95,134.14,136
149.24,133.2,149.86,151.1,137.32,139.09,149.24,133.2,149.86,151.1,137.32,139.09
153.21,136.45,153.38,154.73,140,141.38,153.21,136.45,153.38,154.73,140,141.38
148.95,132.88,149.42,150.95,136.28,138.35,148.95,132.88,149.42,150.95,136.28,138.35
144.79,130.38,146.38,147.11,134.91,137.05,144.79,130.38,146.38,147.11,134.91,137.05
156.2,138.36,156.13,158,140.92,142.26,156.2,138.36,156.13,158,140.92,142.26
150.85,133.79,150.93,152.7,136.94,138.5,150.85,133.79,150.93,152.7,136.94,138.5
146.71,131.38,148.02,148.26,136.58,138.12,146.71,131.38,148.02,148.26,136.58,138.12
145.06,129.89,145.99,147.04,133.92,135.84,145.06,129.89,145.99,147.04,133.92,135.84
157.17,139.45,157.13,158.57,142.8,143.98,157.17,139.45,157.13,158.57,142.8,143.98
155.14,137.89,155.15,157.4,140.76,142.45,155.14,137.89,155.15,157.4,140.76,142.45
152.25,135.73,152.72,153.91,140.37,141.91,152.25,135.73,152.72,153.91,140.37,141.91
